file_name,video_id,title,upload_date,year,duration_seconds,duration_human,view_count,like_count,category,format,topics,top_terms,synopsis
(Un)productive Day in the Life as a Doctor (uQrXLHiFszk).md,uQrXLHiFszk,(Un)productive Day in the Life as a Doctor,2020-02-20,2020,417,6:57,260544,8369,Education,vlog,study-learning,"doctor, productive, vlog, off, cambridge, spend, one, like, myself, can, talk, next","该视频属于vlog内容。My brother and I host a weekly podcast where we discuss happiness, creativity and the human condition. You can find it by searching “Not Overthinking” on any podcast app (eg: Spotify, Apple Podcasts, Google Podcasts etc)."
1.5 Hour Study With Me in Sweden (with music) (bfk80hDfLXU).md,bfk80hDfLXU,1.5 Hour Study With Me in Sweden (with music),2023-05-17,2023,5163,1:26:03,129569,2549,Education,music,general,"study, sweden, music, abdal, real, motivation, inspiration, live, together, buddy, pomodoro, technique","该视频属于music内容。Hey friends, I recently went to Sweden on a work trip, so I thought it'd be a good time to do another study with me video. Please forgive me being extra with the filming and editing 😜 Enjoy x"
10 Rules I Follow Everyday (eGdn6FTIF5I).md,eGdn6FTIF5I,10 Rules I Follow Everyday,2021-08-18,2021,831,13:51,774411,29937,Education,tutorial,money-finance,"mental, models, like, rules, going, things, productivity, one, tech, follow, everyday, productive",该视频属于tutorial内容。In this video I'll be going over 10 mental models I use on a daily basis for productivity and a good all-around life.
10 Tips for COVID-19 (Coronavirus) - Advice from a Respiratory Physician (D4Z7cQ7jLGc).md,D4Z7cQ7jLGc,10 Tips for COVID-19 (Coronavirus) - Advice from a Respiratory Physician,2020-03-23,2020,799,13:19,99550,2667,Education,q&a,medicine,"coronavirus, covid-19, advice, respiratory, physician, like, country, point, pandemic, news, spread, that's","该视频属于q&a内容。In this video, Dr Thomas Pulimood, a Consultant Respiratory Physician who works at my hospital (West Suffolk Hospital, Bury St Edmunds), shares 10 things that we can be doing to help combat the spread of the COVID-19 coronavirus pandemic."
10 cheap purchases that improved my life (x_5poMWS-L4).md,x_5poMWS-L4,10 cheap purchases that improved my life,2021-02-28,2021,548,9:08,2373524,70662,Education,talk,general,"cheap, improved, things, one, purchases, like, get, really, can, items, worth, money",该视频属于talk内容。围绕《10 cheap purchases that improved my life》展开，主要涉及 general。
12 Evidence Based Tips to Improve Your Sleep (Oq4c-_iAzQo).md,Oq4c-_iAzQo,12 Evidence Based Tips to Improve Your Sleep,2021-07-23,2021,533,8:53,298744,14075,Education,talk,tools-tech,"sleep, better, matthew, can, evidence, night, all, book, less, based, improve, people","该视频属于talk内容。In this video I'll be going over the main points in Matthew Walker's ""Why We Sleep"" with examples of how I've drastically improved the quality of my sleep."
12 Productivity Myths Wasting Your Time (qc4GU_wHdqw).md,qc4GU_wHdqw,12 Productivity Myths Wasting Your Time,2022-11-24,2022,1157,19:17,1237442,28738,Education,talk,"career-life, youtube-creator","productivity, productive, about, it's, yourself, myths, not, intensity, you're, get, wasting, should","该视频属于talk内容。Over the years I've come across a lot of different productivity tips, and some of them are actually not that productive lol, so in this video I break down 12 productivity myths. Enjoy x"
12 Tools I Use to Run My $4m Business (rjcejdY_iNU).md,rjcejdY_iNU,12 Tools I Use to Run My $4m Business,2023-08-02,2023,1996,33:16,263096,7120,Education,talk,"tools-tech, business, youtube-creator","business, run, slack, apps, like, tools, can, team, app, hey, i've, all","该视频属于talk内容。Hey friends, so over the past few years I've tested out a huge number of apps to help me run my business, and in this video I go through the 12 that have stood the test of time. They are all absolutely essential to the day to day of our business, so hopefully it'll save you some time figuring out what you might need and give you some recommendations. Enjoy x"
12 cheap purchases to boost your productivity (Uri24Z3oc74).md,Uri24Z3oc74,12 cheap purchases to boost your productivity,2022-12-05,2022,905,15:05,1097008,24482,Education,talk,general,"can, bullet, journal, it's, like, productivity, cheap, purchases, things, i've, boost, we're","该视频属于talk内容。In this video, I share 12 simple things I've bought that help me be more productive, and they all cost less than $20. Enjoy x"
13 Brutally Honest Lessons to Grow on YouTube in 2026 (TIqQmKapBaY).md,TIqQmKapBaY,13 Brutally Honest Lessons to Grow on YouTube in 2026,2024-11-26,2024,1501,25:01,121289,4677,Education,tutorial,youtube-creator,"youtube, grow, i'm, honest, i've, brutally, record, lessons, advice, successful, get, last","该视频属于tutorial内容。Hey friends, I speak to so many YouTubers about how to grow their channels, and so in this video I wanted to share some brutally honest advice for anyone who needs to hear it. I hope you get some value from it! Enjoy xx"
1400 MILE Road Trip in the Tesla Model 3 (iw425d9irZ4).md,iw425d9irZ4,1400 MILE Road Trip in the Tesla Model 3,2020-12-06,2020,1466,24:26,249879,6822,Education,vlog,general,"tesla, model, car, road, trip, like, it's, mile, review, about, would, very",该视频属于vlog内容。In this video I'll be taking you through the experience of a 1400 mile road trip to the Scottish Highlands in my Tesla Model 3.
15 Books To Read This Year (w47z_wz6XBA).md,w47z_wz6XBA,15 Books To Read This Year,2020-12-24,2020,984,16:24,864660,30430,Education,talk,study-learning,"story, books, like, read, really, it's, year, good, book, not, think, i'm","该视频属于talk内容。In this video, I talk through 15 of my favourite books / series that I read in 2020. If you're looking for some recommendations for the New Year, I'd 100% recommend everything on this list. Enjoy!"
15 Books To Read to Change Your Life (lCrMAtbBUJA).md,lCrMAtbBUJA,15 Books To Read to Change Your Life,2022-01-07,2022,1398,23:18,994473,32872,Education,talk,study-learning,"books, read, like, book, it's, really, change, recommendations, productivity, all, going, about","该视频属于talk内容。In this video, I talk through 15 of my favourite books that I read in 2021. If you're looking for some recommendations for the New Year, I'd 100% recommend everything on this list. Enjoy!"
15 Incredible Books to Read in 2026 (N24X8kK7H4Q).md,N24X8kK7H4Q,15 Incredible Books to Read in 2026,2022-12-13,2022,1518,25:18,1353720,48138,Education,talk,study-learning,"like, read, books, book, year, not, that's, it's, incredible, i'm, job, sure","该视频属于talk内容。Books have always been a huge part of my life, so in this video I'm sharing the best 15 books I read this year. Enjoy x"
15 Lessons that Improved My Life (l3hOrfLuxU0).md,l3hOrfLuxU0,15 Lessons that Improved My Life,2020-01-07,2020,1408,23:28,886917,32723,Education,tutorial,study-learning,"lessons, things, i'm, know, learned, something, like, improved, productivity, blogs, i've, across","该视频属于tutorial内容。重点覆盖：#1. The daily highlight - http://aliabdaal.com/friendzone/issues/a-productivity-hack-that-actually-works-208460；#2. If this isn't nice, I don't know what is - http://aliabdaal.com/friendzone/issues/if-this-isn-t-nice-i-don-t-know-what-is-211008；#3. Window openers vs door knockers - http://aliabdaal.com/friendzone/issues/window-openers-vs-door-knockers-202120；#4. What's obvious to you might be amazing to others - http://aliabdaal.com/friendzone/issues/obvious-to-you-amazing-to-others-198524。"
17 Cheap Purchases That Actually Improved My Life (k_K9MbqNhA0).md,k_K9MbqNhA0,17 Cheap Purchases That Actually Improved My Life,2025-05-03,2025,985,16:25,445993,11086,Education,talk,tools-tech,"apple, like, can, all, one, then, actually, improved, it's, cheap, take, purchases","该视频属于talk内容。Hey friends, over the years, I’ve spent a lot on tech and productivity tools. But in this video, I’m sharing 17 cheap items under £20 that have actually improved my life. Hope this gives you some budget-friendly upgrades! Enjoy xx"
17 Micro-Habits to Improve Your Focus (7EWYjFqgmHM).md,7EWYjFqgmHM,17 Micro-Habits to Improve Your Focus,2026-02-05,2026,615,10:15,230110,7895,Education,tutorial,productivity,"focus, it's, phone, attention, span, can, you're, micro-habits, improve, i'm, before, like","该视频属于tutorial内容。Hey friends, in this video I'm sharing 17 micro habits that can help you reclaim your attention span before it's completely destroyed by our phones and endless scrolling. We'll cover practical systems like managing notifications, keeping your phone out of the bedroom, and training yourself to consume more long-form content instead of short-form dopamine hits. These are small changes that can make a massive difference to your focus and overall wellbeing. Hope you enjoy xx"
17 cheap purchases that save me time (f7Lfukf0IKY).md,f7Lfukf0IKY,17 cheap purchases that save me time,2023-05-26,2023,558,9:18,349067,9863,Education,talk,productivity,"cheap, purchases, one, save, item, can, number, means, because, management, i'm, phone","该视频属于talk内容。If you hadn't noticed, I like saving time where I can. So in this simple video I go through 17 fun and cheap purchases that help me be more efficient in various areas of my life. Enjoy x"
19 Books to Transform Your 2026 (3KLE_xwbGqg).md,3KLE_xwbGqg,19 Books to Transform Your 2026,2024-12-24,2024,1333,22:13,267770,7408,Education,talk,general,"books, book, like, read, productivity, transform, one, really, it's, own, all, right","该视频属于talk内容。Hey friends, this is my annual best books list. Let me know which ones you get! Enjoy xx"
20 Lessons that Improved My Life (WQWiLZ1M6xw).md,WQWiLZ1M6xw,20 Lessons that Improved My Life,2020-12-20,2020,1616,26:56,733467,25089,Education,tutorial,general,"lessons, top, i've, learned, i'm, five, list, book, number, wish, not, improved",该视频属于tutorial内容。In this video I'll be going over 20 life lessons and tips that stuck with me after 2020.
